date,open,high,low,close,volume
2018-05-09 00:00:00,9184.7,9375.8,8980.0,9318.2,208046771.77
2018-05-10 00:00:00,9318.2,9393.9,9003.0,9018.0,214713650.93
2018-05-11 00:00:00,9018.0,9018.1,8333.8,8412.4,458657858.2
2018-05-12 00:00:00,8412.4,8631.7,8204.41,8470.8,306163209.3
2018-05-13 00:00:00,8470.8,8760.0,8318.3,8683.6,193696088.91
2018-05-14 00:00:00,8683.6,8884.5,8271.0,8670.8,314085399.91
2018-05-15 00:00:00,8670.8,8855.7,8415.0,8467.5,220646777.28
2018-05-16 00:00:00,8467.5,8492.7,8100.0,8336.1,265254056.38
2018-05-17 00:00:00,8336.1,8482.2,7982.5,8054.3,203331061.86
2018-05-18 00:00:00,8054.3,8277.2,7925.0,8238.9,184236039.07
2018-05-19 00:00:00,8238.9,8430.0,8140.2,8231.0,109560697.47
2018-05-20 00:00:00,8231.0,8597.9,8171.5,8523.6,127232890.21
2018-05-21 00:00:00,8523.6,8644.0,8309.1,8398.8,137587899.88
2018-05-22 00:00:00,8398.8,8408.28,7943.3,7977.85,165144229.36
2018-05-23 00:00:00,7977.85,8020.0,7403.0,7494.8,306082064.9
2018-05-24 00:00:00,7494.8,7729.83,7260.0,7576.7,289840367.15
2018-05-25 00:00:00,7576.7,7654.1,7318.2,7456.7,192775928.74
2018-05-26 00:00:00,7456.7,7624.1,7281.0,7327.7,102683254.89
2018-05-27 00:00:00,7327.7,7425.4,7211.1,7339.7,115619165.33
2018-05-28 00:00:00,7339.7,7437.7,7062.3,7097.9,189039280.71
2018-05-29 00:00:00,7097.9,7536.0,7040.0,7465.2,198139678.58
2018-05-30 00:00:00,7465.2,7560.0,7270.5,7375.12,163147111.12
2018-05-31 00:00:00,7375.12,7599.7,7338.0,7485.8,143522705.64
2018-06-01 00:00:00,7485.8,7599.8,7329.19,7521.0,141455168.42
2018-06-02 00:00:00,7521.0,7698.8,7441.5,7638.1,123627262.96
2018-06-03 00:00:00,7638.1,7779.0,7600.0,7718.0,104417170.37
2018-06-04 00:00:00,7718.0,7764.0,7451.1,7488.3,133657335.36
2018-06-05 00:00:00,7488.3,7675.0,7372.0,7621.9,121882924.46
2018-06-06 00:00:00,7621.9,7700.0,7491.7,7654.0,124490976.9
2018-06-07 00:00:00,7654.0,7756.3,7624.7,7688.9,83404764.88
2018-06-08 00:00:00,7688.9,7697.0,7543.6,7615.1,92098498.19
2018-06-09 00:00:00,7615.1,7685.0,7463.4,7498.5,50467056.59
2018-06-10 00:00:00,7498.5,7498.6,6630.0,6758.0,361863799.92
2018-06-11 00:00:00,6758.0,6899.0,6629.7,6873.3,150583212.34
2018-06-12 00:00:00,6873.3,6873.4,6436.1,6543.9,197909118.26
2018-06-13 00:00:00,6543.9,6611.7,6107.88,6295.1,276804573.74
2018-06-14 00:00:00,6295.1,6736.52,6269.5,6633.7,197450952.63
2018-06-15 00:00:00,6633.7,6659.0,6350.0,6385.0,127892576.02
2018-06-16 00:00:00,6385.0,6559.7,6330.0,6485.9,88159803.43
2018-06-17 00:00:00,6485.9,6573.0,6424.8,6438.4,55464373.5
2018-06-18 00:00:00,6438.4,6827.9,6370.77,6709.2,150860200.74
